央视频道,#genre#
邓州台,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8
CCTV1-综合,http://113.25.252.226:9901/tsfile/live/0001_1.m3u8
CCTV1-综合,http://118.250.149.102:8082/hls/1/index.m3u8
CCTV2-财经,http://113.25.252.226:9901/tsfile/live/0002_1.m3u8
CCTV2-财经,http://118.250.149.102:8082/hls/2/index.m3u8
CCTV3-综艺,http://113.25.252.226:9901/tsfile/live/0003_1.m3u8
CCTV3-综艺,http://118.250.149.102:8082/hls/3/index.m3u8
CCTV4-国际,http://113.25.252.226:9901/tsfile/live/0004_1.m3u8
CCTV4-国际,http://118.250.149.102:8082/hls/4/index.m3u8
CCTV5-体育,http://113.25.252.226:9901/tsfile/live/0005_1.m3u8
CCTV5-体育,http://118.250.149.102:8082/hls/5/index.m3u8
CCTV6-电影,http://113.25.252.226:9901/tsfile/live/0006_1.m3u8
CCTV6-电影,http://118.250.149.102:8082/hls/7/index.m3u8
CCTV7-军农,http://113.25.252.226:9901/tsfile/live/0007_1.m3u8
CCTV7-军农,http://118.250.149.102:8082/hls/8/index.m3u8
CCTV8-电视剧,http://113.25.252.226:9901/tsfile/live/0008_1.m3u8
CCTV8-电视剧,http://118.250.149.102:8082/hls/9/index.m3u8
CCTV9-纪录,http://113.25.252.226:9901/tsfile/live/0009_1.m3u8
CCTV9-纪录,http://118.250.149.102:8082/hls/10/index.m3u8
CCTV10-科教,http://113.25.252.226:9901/tsfile/live/0010_1.m3u8
CCTV10-科教,http://118.250.149.102:8082/hls/11/index.m3u8
CCTV11-戏曲,http://113.25.252.226:9901/tsfile/live/0011_1.m3u8
CCTV11-戏曲,http://118.250.149.102:8082/hls/12/index.m3u8
CCTV12-社会与法,http://113.25.252.226:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法,http://118.250.149.102:8082/hls/13/index.m3u8
CCTV13-新闻,http://113.25.252.226:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻,http://118.250.149.102:8082/hls/14/index.m3u8
CCTV14-少儿,http://113.25.252.226:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿,http://118.250.149.102:8082/hls/15/index.m3u8
CCTV15-音乐,http://113.25.252.226:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐,http://118.250.149.102:8082/hls/16/index.m3u8
CCTV5+,http://118.250.149.102:8082/hls/6/index.m3u8



卫视频道,#genre#
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://113.25.252.226:9901/tsfile/live/0139_1.m3u8
河南卫视,http://39.164.160.249:9901/tsfile/live/0139_1.m3u8
都市频道,http://1.94.31.214/php/hntv.php?id=hnds
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://113.25.252.226:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://113.25.252.226:9901/tsfile/live/0128_1.m3u8
江苏卫视,http://113.25.252.226:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://113.25.252.226:9901/tsfile/live/0130_1.m3u8
